k	min_res_srk	min_res_esrk	min_res_hb_double_inexact	min_res_hb_opt_beta	max_res_srk	max_res_esrk	max_res_hb_double_inexact	max_res_hb_opt_beta	median_res_srk	median_res_esrk	median_res_hb_double_inexact	median_res_hb_opt_beta	quant25_res_srk	quant25_res_esrk	quant25_res_hb_double_inexact	quant25_res_hb_opt_beta	quant75_res_srk	quant75_res_esrk	quant75_res_hb_double_inexact	quant75_res_hb_opt_beta
27001	1.26735860023548e-05	5.95648229540835e-07	5.59895295519308e-07	4.97237556487966e-07	0.00257627156583578	0.000637585622076395	0.000650986366497353	0.000503498111213355	0.00023369128349152	1.22533652780379e-05	1.15890458786364e-05	1.15661325816229e-05	7.10976880511385e-05	3.6297792780357e-06	3.16118737494881e-06	3.97963100334413e-06	0.000574228462330804	6.12270422005024e-05	5.69161262294635e-05	4.74954460758124e-05
28001	9.49433934920514e-06	3.94953442479737e-07	3.73707596117904e-07	3.21089402990692e-07	0.00246927406941462	0.000606866443744313	0.000607417506597109	0.000486057586047599	0.000192534771818864	9.55949127318923e-06	9.06506390959329e-06	8.95525449212585e-06	5.80009547497043e-05	2.7290736346396e-06	2.42612874865235e-06	3.23041355553163e-06	0.00051602268895354	5.27367021042108e-05	5.04210442768025e-05	3.90559586888901e-05
29001	7.09750102164929e-06	2.62266859562528e-07	2.64805102892991e-07	2.24251769822787e-07	0.00221288206174598	0.000537642067776727	0.000521994259203801	0.000411156167818755	0.000162068310556263	8.17047456176097e-06	7.63517383218953e-06	7.11104471719758e-06	4.58592345965991e-05	2.14611514179904e-06	1.76243375256776e-06	2.41581710105357e-06	0.000463534353301473	4.31113042834402e-05	3.97785201025936e-05	3.24965262948055e-05
30001	5.09432768068156e-06	1.65381956740891e-07	1.88483752185041e-07	1.98412800246823e-07	0.00204885337810195	0.000498950485296788	0.000488526320729993	0.000362557914307764	0.000140506522527264	5.81831036976086e-06	5.54735987133941e-06	5.40113508861103e-06	4.02388144757553e-05	1.61959806336465e-06	1.38837334213313e-06	1.85938012548522e-06	0.000399004825720955	3.72329542368207e-05	3.30910073237668e-05	2.63535768946648e-05
31001	3.92635893968958e-06	1.1678660949198e-07	1.2821332121337e-07	1.36714691183325e-07	0.0018626161453058	0.000449055851999744	0.000429795558297419	0.000336418658959098	0.000118811987731884	4.87613772999753e-06	4.54701044815003e-06	4.33691925224531e-06	2.96884307811663e-05	1.22180235966493e-06	1.07547570791272e-06	1.36809033040073e-06	0.00037020049762734	3.16651949586956e-05	2.81975456596025e-05	2.28830290090587e-05
32001	3.34724386461273e-06	8.86567771460763e-08	1.34230786959627e-07	1.09615175300863e-07	0.00173187490899539	0.000442312192133671	0.000432846437404918	0.000328619527320921	9.91330286036768e-05	3.69275225620003e-06	3.65812047790538e-06	3.46084152354317e-06	2.45209789065145e-05	9.13501328011736e-07	7.54865123890542e-07	1.10452252060451e-06	0.000314310828506499	2.51857437941897e-05	2.2461878563356e-05	1.8983879015041e-05
33001	2.27839062206432e-06	5.28988341888219e-08	9.3570369921095e-08	1.20727252468331e-07	0.00163092875051358	0.000396450010271532	0.000382995788120573	0.000291262680313324	8.18017224311867e-05	3.03919130550743e-06	3.07688467826812e-06	2.68242434771468e-06	2.01657289016154e-05	6.85920163768336e-07	5.46422334244237e-07	7.89996606562453e-07	0.000289904022193304	2.17223395859499e-05	1.88370625202302e-05	1.45751508590151e-05
34001	1.66889013525823e-06	3.50528714709345e-08	9.57196226370245e-08	1.1534339315495e-07	0.00148239754265894	0.000383616423829373	0.000372835142833295	0.0002858413812908	7.15920122745667e-05	2.17816841394745e-06	2.24603147353791e-06	2.13401646869593e-06	1.61900823017661e-05	5.28236291724463e-07	4.19250263221706e-07	6.1707934808062e-07	0.00025246795404617	1.75832885413058e-05	1.55141599061169e-05	1.25570685056742e-05
35001	1.39199565944818e-06	2.71826280128689e-08	1.07408257951458e-07	1.20798943204915e-07	0.00139710809268324	0.000344081170620359	0.000332450630812096	0.000258398664654455	5.95674390591422e-05	1.79325097131259e-06	1.83787294255696e-06	1.67004547995521e-06	1.33414793475372e-05	4.20409317174144e-07	3.14238010757973e-07	4.67542412307012e-07	0.000222516673146899	1.51413294294193e-05	1.32879346279062e-05	1.05010238752526e-05
36001	9.67002649800867e-07	1.6502340971192e-08	1.05004534214e-07	1.01052981886047e-07	0.00129740771032223	0.000312291464889172	0.00030515428295631	0.000242102445738796	5.33104271976954e-05	1.44691559212259e-06	1.48631699261078e-06	1.30116407135801e-06	1.10759175586617e-05	3.12882361917748e-07	2.54188979076835e-07	3.67438810649565e-07	0.000205244156419511	1.2294495024842e-05	1.07072325276331e-05	8.44167666335732e-06
37001	7.70480685330079e-07	1.16727448243233e-08	1.03895103259751e-07	1.06134117142073e-07	0.00120316257932093	0.000298625747286496	0.000291889021614557	0.000226277085810631	4.37415392235222e-05	1.15330446699201e-06	1.20786417668406e-06	9.87601810685283e-07	9.65022995263519e-06	2.40475243423347e-07	2.94701011456849e-07	2.95730780167074e-07	0.00017790365203925	1.03562133453548e-05	8.95888715242443e-06	7.02049306925083e-06
38001	5.83629329653407e-07	8.22304937511675e-09	9.47581024319313e-08	1.11921994786677e-07	0.0011203994913275	0.000272139703796364	0.000267853473982771	0.000211744967521021	3.67968871920476e-05	9.52179980329263e-07	1.13961707518429e-06	8.67494916743486e-07	7.95141542637038e-06	1.74846277736026e-07	2.10967788042569e-07	2.47560733766164e-07	0.000161275870347316	8.5808670894488e-06	7.3417405924121e-06	5.80176606875602e-06
39001	4.48554019780185e-07	5.60111329415515e-09	1.01823705618444e-07	9.60516707256012e-08	0.00108553910531097	0.000267686851918404	0.000260183187512783	0.000207576459498135	3.32105704709785e-05	7.63025200855296e-07	7.97476184042883e-07	6.38281320687299e-07	6.29014112618721e-06	1.34027503438428e-07	2.15057149995919e-07	2.02877111277897e-07	0.000148009073945537	7.33847660625309e-06	6.32529454003717e-06	4.93316681003458e-06
40001	3.39378058756382e-07	3.65274935921709e-09	1.00107977604884e-07	9.06660545460412e-08	0.00105914234859172	0.000251823611563992	0.000249915489865186	0.000198197332937117	2.86445123914202e-05	6.15019359611245e-07	6.42883870849679e-07	5.08571805819729e-07	5.28606573452132e-06	1.00157858309843e-07	1.67794585179849e-07	1.79088287060577e-07	0.000125734863668198	5.90698146627991e-06	5.12762146397332e-06	4.1075019675067e-06
41001	2.58782147388279e-07	2.5043225044816e-09	9.39661444025809e-08	1.00860119929809e-07	0.000963526420905306	0.000227189061490005	0.000219190239994718	0.000171600644730469	2.45562128578771e-05	4.98432145938938e-07	5.06295979045111e-07	3.96814098883259e-07	4.30871662595565e-06	7.64470875520751e-08	1.53348359634619e-07	1.61304105625507e-07	0.000114018147467704	5.25511458023116e-06	4.49164031870864e-06	3.56875116343005e-06
42001	2.14191459729129e-07	1.84415390824779e-09	1.04991090507419e-07	9.68246071440655e-08	0.000965599642164982	0.000217863047048312	0.000213550085463385	0.000174398746724797	2.17137585004878e-05	4.07913000138654e-07	5.14424043185151e-07	3.01601107206183e-07	3.72808155748164e-06	5.69019556579264e-08	1.59378180628388e-07	1.48826302371601e-07	0.000105543995184862	4.30441481898723e-06	3.70757690523154e-06	2.98230838258279e-06
43001	1.51694437754876e-07	1.1477632055086e-09	8.64335651882758e-08	7.59225658458502e-08	0.000891493560273045	0.000207657849212539	0.000210461962117354	0.000166633632184867	1.84291181249111e-05	3.30601464429711e-07	3.66856218546851e-07	2.46312245336459e-07	2.99102575773417e-06	3.8204433829234e-08	1.30288440501479e-07	1.34318621766215e-07	9.1633719694482e-05	3.6256764821847e-06	3.13088859187166e-06	2.5587289579627e-06
44001	1.17020234044246e-07	8.25348001095757e-10	1.01069020668073e-07	9.95771420800236e-08	0.000868903656944017	0.000190416550314749	0.000183910922410969	0.000150601839580484	1.61722131762085e-05	2.63970572761789e-07	3.21675942154194e-07	2.35834003566296e-07	2.45389226599786e-06	2.87084838475153e-08	1.37940354852045e-07	1.27692999932394e-07	8.47867177463269e-05	2.92635202833219e-06	2.4958932381979e-06	2.00256424010837e-06
45001	9.03983718425869e-08	5.49302673141142e-10	8.4513640614006e-08	8.9459146401256e-08	0.00082623727017527	0.000182699268110527	0.000180459377357139	0.000143406729937307	1.4210744925183e-05	2.08970652090368e-07	2.87712574478959e-07	2.00930600312022e-07	2.12573247194169e-06	2.28864906752018e-08	1.26126951921314e-07	1.35531401039845e-07	7.4017830141579e-05	2.53363928475582e-06	2.4588359116009e-06	1.70531227699686e-06
46001	6.81292105102092e-08	3.58937229797004e-10	1.02563738850779e-07	9.87832927721495e-08	0.000797077084959315	0.000174106129664778	0.000173090571279711	0.000133528106749531	1.29451203627634e-05	1.70376433718797e-07	2.4675469090632e-07	1.8920470728787e-07	1.72400419105697e-06	1.86525547390625e-08	1.33088223082652e-07	1.3934583586572e-07	6.70419580088408e-05	2.02698630159599e-06	1.72882451330971e-06	1.49229061223327e-06
47001	5.087041653223e-08	2.38765874780037e-10	9.23613523873211e-08	8.95650805073532e-08	0.000753640473416065	0.000159218547022843	0.000158802545956079	0.00012567055846108	1.06906249398265e-05	1.37521219295716e-07	2.04705591146539e-07	1.74995492530091e-07	1.40668637219416e-06	1.47600500208874e-08	1.22247487314855e-07	1.31495038937863e-07	6.16846947177595e-05	1.79299182211392e-06	1.50534556245293e-06	1.19826430155135e-06
48001	3.83713003873035e-08	1.57569558358336e-10	8.27477969093143e-08	9.80886027589547e-08	0.000744632523045103	0.00014154692987913	0.000142309514514205	0.000116429939866237	9.43711458611783e-06	1.10619574767433e-07	1.94895920735442e-07	1.81009262607774e-07	1.21992480196166e-06	1.08384012156974e-08	1.27207837946191e-07	1.21914765618412e-07	5.62751730275563e-05	1.63815586883092e-06	1.3736445861465e-06	1.00469853057907e-06
49001	2.86165617850451e-08	1.0815649784964e-10	8.76357372646209e-08	9.5284916420893e-08	0.000718278321020608	0.000142021781698022	0.000140322617260338	0.000116973401265337	7.82980897454706e-06	8.48947605128415e-08	1.74000705876163e-07	1.70543260736244e-07	1.03752782656424e-06	8.74603004634044e-09	1.21702265148236e-07	1.17085135749318e-07	5.05652866052929e-05	1.20130938428013e-06	1.01364733164377e-06	8.75593146920984e-07
50001	2.35114940754792e-08	7.97261895046864e-11	8.43940766172848e-08	8.00040641687653e-08	0.000678265016882967	0.000134255217882275	0.000129205266301955	0.000101779141057037	7.09790282374302e-06	6.84200606817997e-08	1.71431505132586e-07	1.69875526418985e-07	8.22927465644382e-07	6.78080180278136e-09	1.24563071710376e-07	1.22543598131484e-07	4.36668696086874e-05	1.05890075551334e-06	1.24764919291438e-06	1.00275031504652e-06
51001	1.70346171397368e-08	4.93673253653879e-11	8.40454345522698e-08	8.82068103506486e-08	0.00063045136695826	0.000124702795709874	0.000125543903468985	0.000106441598061873	5.92273339726757e-06	5.07412339511491e-08	1.51556132013994e-07	1.69252836860604e-07	6.84936577335449e-07	5.1027521957552e-09	1.21697346861263e-07	1.29507681157306e-07	3.96552791715409e-05	8.38179699144399e-07	7.01395812841435e-07	6.30036074288997e-07
52001	1.24748157891503e-08	3.34785366449404e-11	7.28482117156353e-08	9.80497063238352e-08	0.000645009181391557	0.000121678647299147	0.00011533913062496	9.2327758551786e-05	5.15688772972491e-06	4.24812085254398e-08	1.52667720408892e-07	1.78970493312207e-07	5.55210402104379e-07	4.11321463410421e-09	1.11407795557525e-07	1.46913940679418e-07	3.73618984320398e-05	7.49497468244604e-07	6.46271980647197e-07	5.2365390257559e-07
