k	rt_srk	rt_esrk	rt_hb_double_inexact	rt_hb_opt_beta	rt_hb_beta_0.1	rt_hb_beta_0.2	rt_hb_beta_0.3	rt_hb_beta_0.4	rt_hb_beta_0.5	rt_hb_beta_0.6	res_srk	res_esrk	res_hb_double_inexact	res_hb_opt_beta	res_hb_beta_0.1	res_hb_beta_0.2	res_hb_beta_0.3	res_hb_beta_0.4	res_hb_beta_0.5	res_hb_beta_0.6
571	0.006541479	0.016141494	0.00964785	0.012376767	0.00915092400000001	0.00771476199999999	0.007158737	0.006795254	0.006965586	0.007007492	0.45039154079206	0.30188770115238	0.289603653146207	0.29970969285694	0.421541952691946	0.387384432266419	0.349616256852294	0.344692992090563	0.399696345606477	0.505875594751228
581	0.006721237	0.016350883	0.009868154	0.012751131	0.00943766200000001	0.00793458599999999	0.007311469	0.006950449	0.007118255	0.007191118	0.450381501152224	0.207320828148165	0.206665652415813	0.209518452235593	0.420458733237037	0.376410385411901	0.322732828334349	0.291579750711776	0.311635732836406	0.402402651637182
591	0.006797665	0.016552773	0.009997405	0.012883768	0.00955994000000001	0.00803874599999999	0.007409936	0.007049668	0.00722199699999999	0.007290562	0.450381501152224	0.207320828148165	0.204829573171909	0.204136331086294	0.420469826750495	0.376213380140369	0.321167889883292	0.285067391307121	0.296110493691942	0.390653427006289
601	0.006867684	0.016574363	0.010109901	0.012971731	0.00966212400000001	0.00813186399999999	0.007500242	0.00716385	0.00731227799999999	0.007380132	0.44742315247313	0.207201664158256	0.203920596707705	0.204015307061218	0.418459015032097	0.375208080819183	0.320884194283113	0.285041978404002	0.296105822901025	0.390662356740148
611	0.007071097	0.016702269	0.010251082	0.013169793	0.00979854800000001	0.00824157399999999	0.007610943	0.007271843	0.00742067599999999	0.007489092	0.44742315247313	0.205745476713026	0.202449334065364	0.202536211757805	0.41845901773954	0.375208133101288	0.320884417504139	0.285042088565742	0.2896402084643	0.383199497802002
621	0.00717498299999999	0.016892955	0.010413011	0.013315981	0.00994477000000001	0.00837042099999999	0.007727791	0.007386813	0.007534422	0.007596285	0.443194215450292	0.205745476713026	0.202449571874951	0.202536211757805	0.411233996726726	0.366025219644505	0.31450654957083	0.282727171410103	0.289272421460496	0.383596577431254
631	0.00732569899999999	0.016949939	0.010731343	0.013471044	0.010174475	0.00853874299999999	0.00813588	0.007598974	0.00773843	0.007804637	0.437170783310386	0.205023393802239	0.201716446449675	0.201802645898215	0.404601643850582	0.36210500249452	0.311603263114277	0.280312059966583	0.288758035043901	0.383518254245171
641	0.00760136299999999	0.017475426	0.011000192	0.01384148	0.01042175	0.00872330099999999	0.008322363	0.007839879	0.00793043299999999	0.00798672	0.431102271802707	0.205023393802239	0.201716558382659	0.201802645898215	0.396590838942819	0.356342023789341	0.308771155688878	0.279962295257961	0.288758483384983	0.38348170993695
651	0.00772521599999999	0.01761256	0.011160557	0.013924418	0.010568529	0.00884602199999998	0.008439734	0.007979039	0.00804584099999999	0.008117181	0.431106441317539	0.205023393802239	0.201716097432004	0.201802645898215	0.396522918042205	0.356127587049546	0.308540266301672	0.279921623099126	0.288758470122704	0.383482527677427
661	0.00781212299999999	0.017636057	0.011335076	0.013995079	0.010742394	0.00901334199999998	0.008542712	0.008073928	0.008142086	0.008211783	0.422998552396885	0.218757277153727	0.217957061417517	0.218913371593727	0.389580212344876	0.35029351198777	0.302383011328188	0.26968444947945	0.261515607904406	0.379175611323091
