k	res_srk	res_esrk	res_hb_double_inexact	res_hb_opt_beta	res_hb_beta_0.1	res_hb_beta_0.2	res_hb_beta_0.3	res_hb_beta_0.4	res_hb_beta_0.5	res_hb_beta_0.6
361	0.283632659232472	0.00461741582149574	0.00553274709293498	0.1572903623202	0.251447592305658	0.216903512929408	0.203326141012991	0.206404395354346	0.207425640654923	0.217068907321133
371	0.283632659232472	0.00461741582149574	0.00553073373281078	0.132667413579631	0.251447340705958	0.216898930130828	0.203331566596195	0.206464863727719	0.207208856323994	0.21637518464384
381	0.283632659232472	0.00461741582149574	0.00553073621152944	0.132649028108176	0.251447340705958	0.216555089713631	0.202034964479632	0.205698667145116	0.207208647738691	0.216373259880507
391	0.259432790873933	0.00461741582149574	0.00072549018500846	0.0837760340112445	0.23384356457826	0.207259038140154	0.201199983039909	0.203044220852491	0.204352191141063	0.0804804808814469
401	0.259257166294493	0.00461741582149574	0.000630155125212376	0.0722876325522367	0.233806958701923	0.207251582134583	0.201198312425666	0.203023468939646	0.204340910760288	0.0812045918029579
411	0.252919734370768	0.00461741582149574	0.000629971466424871	0.0711116945824312	0.231311264299366	0.206637820451469	0.201164791995867	0.202954174267123	0.204340910749902	0.0788234511254189
421	0.252919732914893	0.00461741582149574	0.000629971466889251	0.745457572955128	0.223347451572355	0.152020753982314	0.0886202753964009	0.0590186755217159	0.0796522673600471	0.0746094505631411
431	0.250212884337398	0.00461741582149574	0.000629971598978643	0.742833779436361	0.216032938716575	0.146124989964934	0.0782512858799316	0.0736466596370644	0.123248911034944	0.0912993662536698
441	0.234219588107811	0.00461741582149574	0.000629971686007897	0.142067205454306	0.19978434318193	0.137693924761174	0.0750669329649031	0.0725098620435574	0.123295545277535	0.0811115428232874
451	0.222310595949049	0.00461741582149574	0.00041265536136786	0.139049253118179	0.173090327303381	0.126264719416072	0.0750301805953477	0.0530998288416051	0.122875026513131	0.117358624272605
461	0.168309768201451	0.00461741582149574	0.000314761844024137	0.138877441718772	0.144179562002549	0.108146456402323	0.0613800901336472	0.0363746558004049	0.105579991600594	0.0800039669829535
471	0.168804810504982	0.00461741582149574	0.000314866493726242	0.0282535900041337	0.145535175436373	0.109420891090096	0.0619529620804972	0.0358302334258383	0.105533033057913	0.0839995740409758
481	0.117566753377857	0.00461741582149574	6.47801685002644e-07	0.250819165604299	0.0813905037766458	0.0524145734046826	0.0331320686865339	0.0289261938407801	0.0286144883095279	0.0423582178037882
491	0.103529508270749	0.00461741582149574	1.91789461447783e-07	0.252253771039557	0.0655481782792883	0.0403893149336255	0.0301050430113986	0.0286734609626578	0.0286145020428133	0.0377201177899015
501	0.101527231927684	0.00461741582149574	1.92055724321507e-07	0.238433443736945	0.0638970273495245	0.0403430080574914	0.0301042498217137	0.0286730554998939	0.0286145047383816	0.0377095228732229
511	0.0935443578234678	0.00461741582149574	1.71153253031432e-07	0.279836029005822	0.0604298375597412	0.039548481745009	0.0300662943279647	0.0286558538136582	0.0286137684310106	0.0330754587918341
521	0.0885386451019123	0.00461741582149574	8.45297228937436e-07	0.279835234797524	0.0592035675495855	0.0393781780464003	0.0300535380364526	0.0286549395724464	0.0286137677129841	0.0330648096974955
531	0.088364278398773	0.00461741582149574	9.17963123080535e-07	0.279835234372634	0.0590577073718865	0.0393781781581919	0.0300535385395763	0.0286549396988323	0.0286137677129852	0.033064937665904
541	0.0801768952441898	0.00461741582149574	8.58012421942684e-07	0.27983523503625	0.0553682490166129	0.0384223343500661	0.0299651872544618	0.028654157335632	0.0286137677129852	0.0330494706925638
551	0.0599705325669857	0.00461741582149574	2.95977423737122e-06	0.144729045377357	0.0432544202911688	0.0329143836167867	0.0290115773419718	0.0286220932575245	0.0286137676763165	0.0290585939791894
561	0.0598374075720736	0.00461741582149574	2.79603663611932e-06	0.144728936958377	0.0432046244220939	0.0328858611303103	0.0290015905232966	0.0286212191993763	0.0286137676710871	0.0295475360465487
571	0.0594135707932224	0.00412994226289898	2.70153163329764e-06	0.105313128132468	0.0431060882390912	0.0328766708519279	0.0290015810106629	0.0286212078774989	0.028613767671082	0.0295510410163104
581	0.056634207795163	8.98481631169512e-17	1.30249234578572e-06	0.105109045589604	0.0422709417114959	0.0327072247977172	0.028994112039666	0.028621186621057	0.028613767671082	0.0295498052964231
591	0.056593384146473	8.98481631169512e-17	1.26752026833302e-06	0.105109067754159	0.0422612395587237	0.0327057352289602	0.0289940187538415	0.0286211862020772	0.028613767671082	0.0295498589454762
601	0.0530023452382364	8.98481631169512e-17	1.26487972027494e-06	0.0990207604635532	0.0412304245170557	0.0326001944472992	0.0289950290296801	0.028620793168943	0.028613767671082	0.0292008286674129
611	0.0530023452382364	8.98481631169512e-17	1.26507776291638e-06	0.0648034191933206	0.0412304216282529	0.0326001966690151	0.0289950392042696	0.0286207909328378	0.028613767671082	0.0292001937884852
621	0.0530023452382364	8.98481631169512e-17	1.26488873471697e-06	0.0659800755620385	0.0412304216282529	0.0326000117228893	0.0289947587844787	0.0286207906274619	0.028613767671082	0.0292002034938425
631	0.0529956179047264	8.98481631169512e-17	1.26496018276769e-06	0.0591275616116334	0.0412305044395991	0.0326001211125739	0.0289947591705283	0.0286207906264037	0.028613767671082	0.0292002035537772
641	0.0529854278278545	8.98481631169512e-17	1.19286614850859e-07	0.158986413350114	0.0412288485233305	0.0326000245010676	0.0289947587156567	0.0286207906264038	0.028613767671082	0.0292002035541636
651	0.0464315388598071	8.98481631169512e-17	1.27699099996449e-07	0.0440289251517396	0.0387387701130548	0.0319573810395407	0.0289414623355039	0.0286194351460496	0.028613767671082	0.0288423854346312
661	0.0464317880867944	8.98481631169512e-17	1.88013497646453e-07	0.0481947090199774	0.0387387896509578	0.0319573277326985	0.0289414574929318	0.0286194269827254	0.028613767671082	0.0288499018010811
671	0.0463344224584217	8.98481631169512e-17	1.5498604712332e-07	0.0846797117529083	0.0387943348678032	0.0319573277326948	0.028941457492905	0.0286194269818757	0.028613767671082	0.0288499649682203
681	0.0464016247431067	8.98481631169512e-17	1.38415056999797e-07	0.0717884880285007	0.038837782928296	0.0319573277326948	0.028941457492905	0.0286194269818756	0.028613767671082	0.0288499653508156
691	0.0464004264981294	8.98481631169512e-17	1.41142392873811e-07	0.0718045260109899	0.0388431320304686	0.0319573262892579	0.0289414574906353	0.0286194269818756	0.028613767671082	0.0288499653531274
